"0032";"0001";"40";"4";"Display Service Provider Custom Msg Stored On SIM or Current Date (Line 3)";"Custom Msg";"Date"
"0032";"0001";"40";"6";"SMS Storage";"SIM";"Phone"
"0032";"0001";"41";"0";"Menu: Datebook (C550)";"Off";"ON"
"0032";"0001";"41";"2";"Display Foreign Carrier Name from SIM or Current Date (Line 3)";"Date";"Foreign Carrier"
"0032";"0001";"43";"0";"Menu: Java Settings > Java App Loader";"ON";"Off"
"0032";"0001";"43";"4";"Menu: Network Band - Auto(C350)";"ON";"Off"
"0032";"0001";"43";"5";"Menu: Network Band - Auto(C550)";"ON";"Off"
"0032";"0001";"44";"4";"Menu: Engineering > Cell Man., Net. Messaging, Field Test Status";"ON";"Off"
"0032";"0001";"44";"5";"Menu: Engineering > Test Mode";"ON";"Off"
"0032";"0001";"44";"7";"Menu: Full Engineering Menu";"ON";"Off"
"0032";"0001";"45";"7";"Menu: Settings > Phone Status > Other Information > MP3 Ready";"ON";"Off"
"0032";"0001";"46";"0";"Custom Animation on Shutdown (Seems 0207/0209)";"ON";"Off"
"0032";"0001";"46";"3";"Menu: Messages > Menu > Message Setup > Service Center Number (Same as 0b Bit 2)";"ON";"Off"
"0032";"0001";"46";"4";"Menu: Messages > Menu > Voicemail Setup";"ON";"Off"
"0032";"0001";"46";"6";"Menu: Office Tools > Chat (may require update to mma files)";"ON";"Off"
"0032";"0001";"48";"1";"Display My Phone Number at Power On (See SEEM 0126_001 for S/W >38R)";"ON";"Off"
"0032";"0001";"4A";"0";"Menu: Settings > Personalize > Banner Graphic";"ON";"Off"
"0032";"0001";"4A";"1";"Menu: Message > E-Mail Msgs";"ON";"Off"
"0032";"0001";"4A";"6";"Menu: Display Emergency Only if Unable To Register On An Available Network";"ON";"Off"
"0032";"0001";"4A";"7";"Menu: Display No Service if Out of Network Coverage (Outer Display Date Overwrite)";"ON";"Off"
"0032";"0001";"4B";"0";"Menu: Recent Calls > Data Times (offset 4B, bit 3 must be set to 1)";"ON";"Off"
"0032";"0001";"4B";"1";"Menu: Recent Calls > Data Volumes (offset 4B, bit 3 must be set to 1)";"ON";"Off"
"0032";"0001";"4B";"2";"Menu: Byte Usage Summary at End of GPRS Session (xxx bytes transferred)";"ON";"Off"
"0032";"0001";"4B";"3";"Menu: Activate Recent Calls > Data counters (see also offset 4B, bits 0 and 1)";"ON";"Off"
"0032";"0001";"4B";"4";"Menu: Recent/All Data Sessions > Internal Data Session (check 4B, bit 3, 0, 1)";"ON";"Off"
"0032";"0001";"4B";"6";"Current Registered Provider Name Alpha Tag from SIM or Network";"SIM";"Network"
"0032";"0001";"4D";"5";"WAP Browser FILE TYPE NOT RECOGNIZED Error Fix";"Fix";"No Fix"
"0032";"0001";"50";"7";"Menu: Settings > In-Call setup > MSG Alert ";"ON";"Off"
"0032";"0001";"51";"5";"Menu: Multimedia > Motomixer";"ON";"Off"
"0032";"0001";"51";"7";"Menu: Multimedia > Themes";"ON";"Off"
"0032";"0001";"52";"0";"Menu: Multimedia > Themes > Setup > Delete";"ON";"Off"
"0032";"0001";"52";"6";"Menu: Office Tools > AIM (may require update to mma files)";"ON";"Off"
